,Tweet ID,User,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Date
64,1005872837427638273,BBC,Can we interest you in a little cockroach milk to go with your cereal? Because this could be the next big food fad.,0.4588,0.12,0.88,0.0,65,Sun Jun 10 18:02:27 +0000 2018
65,1005857896125599744,BBC,Emily Davison became a martyr to the suffragette cause after running in front of the king's horse at the Epsom Derb,0.0,0.0,1.0,0.0,66,Sun Jun 10 17:03:05 +0000 2018
66,1005842545069428741,BBC,Little girls don,0.0,0.0,1.0,0.0,67,Sun Jun 10 16:02:05 +0000 2018
67,1005832459328606209,BBC,RT @BBCOne: ,0.6808,0.196,0.804,0.0,68,Sun Jun 10 15:22:00 +0000 2018
68,1005831901914034176,BBC,RT @BBCOne: Women across the UK are marching together to create a living artwork,0.7003,0.201,0.799,0.0,69,Sun Jun 10 15:19:47 +0000 2018
69,1005827195804307456,BBC,Is feminism actually just a war on men? @RachelParris has some thoughts... ,-0.5994,0.0,0.755,0.245,70,Sun Jun 10 15:01:05 +0000 2018
70,1005821462341738501,BBC,"RT @CBeebiesHQ: Would you consider an alternative to mainstream education? 

@BBCNews #SundayThoughts https://t.co/hwileHwd1K",0.0,0.0,1.0,0.0,71,Sun Jun 10 14:38:18 +0000 2018
71,1005821365340049408,BBC,"RT @BBCOne: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Hands up to Bake",0.5719,0.139,0.861,0.0,72,Sun Jun 10 14:37:55 +0000 2018
72,1005784818846707712,BBC,RT @bbcarts: 100 years after the Suffragettes won the right to vote,0.5719,0.139,0.861,0.0,73,Sun Jun 10 12:12:42 +0000 2018
73,1005782143547641856,BBC,Kirsty Young presents live coverage of the processions across London,0.0,0.0,1.0,0.0,74,Sun Jun 10 12:02:04 +0000 2018
74,1005766049436983296,BBC,Can you believe these wonders are beneath UK waters? https://t.co/BJ3SEEIjDN,0.0,0.0,1.0,0.0,75,Sun Jun 10 10:58:07 +0000 2018
75,1005758471646703616,BBC,In 1913,-0.3818,0.0,0.88,0.12,76,Sun Jun 10 10:28:00 +0000 2018
76,1005754227317190656,BBC,RT @BBCTwo: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. So here's to Polly,0.5719,0.139,0.861,0.0,77,Sun Jun 10 10:11:08 +0000 2018
77,1005751698990788608,BBC,Learning to embrace that sinking,-0.4588,0.148,0.625,0.227,78,Sun Jun 10 10:01:05 +0000 2018
78,1005736598653276161,BBC,How the suffragettes woke us up. https://t.co/WrXoMnNNIZ,0.0,0.0,1.0,0.0,79,Sun Jun 10 09:01:05 +0000 2018
79,1005721493811195904,BBC, The moment actor Maisie Sly,0.0,0.0,1.0,0.0,80,Sun Jun 10 08:01:04 +0000 2018
80,1005706890007990272,BBC,This elderly man was struggling slowly across a busy road in China ,0.9134,0.442,0.491,0.067,81,Sun Jun 10 07:03:02 +0000 2018
81,1005541038709067776,BBC,"Would you describe yourself as a feminist?
#HearHer https://t.co/RZh8XfEria",0.0,0.0,1.0,0.0,82,Sat Jun 09 20:04:00 +0000 2018
82,1005525456370716673,BBC,"What is it like being Germaine Greer? This observational documentary spends time with her and finds out.

Germaine",0.3612,0.122,0.878,0.0,83,Sat Jun 09 19:02:05 +0000 2018
83,1005510851875495936,BBC,The cast of @QueerEye brought a bag of goodies along to @BBCR1's #BiggestWeekend ,0.0,0.0,1.0,0.0,84,Sat Jun 09 18:04:03 +0000 2018
84,1005495008575803392,BBC,One hundred years after some women won the right to vote,0.5719,0.171,0.829,0.0,85,Sat Jun 09 17:01:05 +0000 2018
85,1005480652018540544,BBC,A year on from the Grenfell Tower fire,0.4019,0.222,0.623,0.156,86,Sat Jun 09 16:04:03 +0000 2018
